Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,District Code,District Name,Police Agency Code,Police Agency Name,Crash Year,Crash Month,Time of Day,Hour of Day,Illumination,Road Condition,Collision Type,Urban / Rural,Fatality Count,Injury Count,Person Count,Total Unit Count,Latitude,Longitude,Vehicle Count,Suspected Serious Injury Count,Suspected Minor Injury Count,Possible Injury Count,Total Injury Count,16 Year Old Driver Count,17 Year Old Driver Count,18 Year Old Driver Count,19 Year Old Driver Count,20 Year Old Driver Count,50-64 Year Old Driver Count,65-74 Year Old Driver Count,75 Plus Year Old Driver Count,Unbelted Occupant Count,Latitude (Decimal),Longitude (Decimal),Interstate,State Road,Local Road Only,Turnpike,Injury,Fatal,Alcohol Related,Drinking Driver,Underage Drinking Driver,Unlicensed,Distracted,Cell Phone,No Clearance,Running Red Light,Tailgating,Speeding,Speeding Related,Aggressive Driving,Fatigue / Asleep,Unbelted,NHTSA Aggressive Driving,Running Stop Sign,Hit Parked Vehicle,Suspected Serious Injury,Suspected Minor Injury,Drug Related,Illegal Drug Related,Drugged Driver,Impaired Driver,Geographic Location of the Crash
2009066542,22,Dauphin,22102,Swatara Twp,08,District 8-0,22102,SWATARA TWP,2009,6,1455,14,Daylight,Dry,Rear-end,Urban,0,1,3,2,40 15:30.510,76 48:14.830,2,0,0,0,1,0,0,0,0,0,0,0,1,0,40.2585,-76.8041,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.2585, -76.8041)"
2008093131,43,Mercer,43220,Pymatuning Twp,01,District 1-0,43220,PYMATUNING TWP,2008,6,1323,13,Daylight,Dry,Angle,Rural,1,1,2,3,41 19:08.341,80 24:40.370,2,0,0,1,1,0,0,0,0,0,0,0,1,0,41.319,-80.4112,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,No,0,0,0,0,0,0,0,0,0,"(41.319, -80.4112)"
2011090013,46,Montgomery,46105,Lower Moreland Twp,06,District 6-0,46105,LOWER MORELAND TWP,2011,8,1400,14,Daylight,Dry,Angle,Urban,0,1,2,2,40 07:14.552,75 03:25.796,2,0,0,1,1,0,0,0,0,0,0,0,0,0,40.1207,-75.0572,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(40.1207, -75.0572)"
2000006444,02,Allegheny,02119,South Fayette Twp,11,District 11-0,68B03,PSP - Pittsburgh (Orig. Finlay),2000,1,0613,6,Dark street lights,Ice Patches,Hit fixed object,Rural,0,0,1,1,40 20:02.040,80 08:10.680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3339,-80.1364,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.3339, -80.1364)"
1999140799,02,Allegheny,02108,McCandless Twp,11,District 11-0,02108,TOWN OF MCCANDLESS,1999,12,0721,7,Dawn,Dry,Rear-end,Urban,0,1,2,2,40 35:54.240,80 02:51.000,2,0,0,1,1,0,0,1,0,0,0,0,0,0,40.5975,-80.0475,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.5975, -80.0475)"
2016016304,45,Monroe,45216,Tunkhannock Twp,05,District 5-0,45501,POCONO MOUNTAIN REGIONAL,2016,2,0105,1,Dark street lights,Snow covered,Hit fixed object,Rural,0,0,1,1,41 03:26.542,75 33:07.781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0574,-75.5522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(41.0574, -75.5522)"
2006069913,64,Westmoreland,64217,Unity Twp,12,District 12-0,68A01,PSP - Greensburg,2006,6,2206,22,Dark no street lights,Dry,Angle,Rural,0,0,4,2,40 14:23.000,79 27:06.567,2,0,0,0,0,1,0,0,0,0,0,0,0,0,40.2399,-79.4518,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,1,0,0,0,0,0,0,0,"(40.2399, -79.4518)"
2016124515,23,Delaware,23112,Marple Twp,06,District 6-0,68K02,PSP - Media,2016,11,1228,12,Daylight,Dry,Angle,Urban,0,0,2,2,39 56:22.173,75 21:42.421,2,0,0,0,0,0,0,0,0,0,2,0,0,0,39.9395,-75.3618,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,0,0,0,0,0,0,0,0,0,"(39.9395, -75.3618)"
2014019338,05,Bedford,05215,Londonderry Twp,09,District 9-0,68G02,PSP - Bedford,2013,12,2310,23,Dark no street lights,Dry,Hit fixed object,Rural,0,2,2,1,39 44:31.859,78 45:30.375,1,0,1,1,2,0,0,0,0,0,0,0,0,0,39.7422,-78.7584,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,No,0,0,0,0,1,0,0,0,1,"(39.7422, -78.7584)"
2003204140,66,York,66427,Spring Grove Boro,08,District 8-0,66214, ,2003,2,1257,12,Daylight,Dry,Rear-end,Rural,0,0,2,2,39 52:51.240,76 51:52.560,2,0,0,0,0,0,0,0,0,1,0,0,0,0,39.8808,-76.8647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,No,1,0,0,0,0,0,0,0,0,"(39.8808, -76.8647)"
1997003171,07,Blair,07201,Allegheny Twp,09,District 9-0,68G01,PSP - Hollidaysburg,1997,1,1437,14,Daylight,Ice,Hit fixed object,Rural,0,0,2,1,40 26:33.360,78 25:30.720,1,0,0,0,0,0,0,0,0,0,0,1,0,0,40.4425,-78.4252,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.4425, -78.4252)"
2003047352,46,Montgomery,46223,Upper Salford Twp,06,District 6-0,68K03,PSP - Skippack,2002,4,1600,16,Daylight,Dry,Non collision,Rural,0,0,1,1,40 17:36.000,75 24:15.319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2936,-75.4043,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,"(40.2936, -75.4043)"
1998083145,16,Clarion,16204,Clarion Twp,10,District 10-0,68C02,PSP - Clarion,1998,8,1610,16,Daylight,Dry,Rear-end,Rural,0,0,3,3,41 12:28.080,79 23:26.160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41.2078,-79.3906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,No,0,0,0,0,0,0,0,0,0,"(41.2078, -79.3906)"
2004013135,14,Centre,14202,Boggs Twp,02,District 2-0,68G07,PSP - Rockview,2003,11,1405,14,Daylight,Dry,Angle,Rural,0,1,4,2,,,2,0,0,1,1,0,1,0,0,0,1,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,1,0,0,0,0,0,0,0,0,
1997123874,25,Erie,25302,Erie City,01,District 1-0,25302,ERIE CITY,1997,11,1035,10,Daylight,Wet,Hit fixed object,Urban,0,1,1,1,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,
